	A
	
	DCM.Sample.Raw.csv
37878.78788	0.01434
38167.93893	0.01389
38461.53846	0.01427
38759.68992	0.01479
39062.5	0.01605
39370.07874	0.01770
39682.53968	0.02073
40000	0.02547
40322.58065	0.03294
40650.4065	0.04473
40983.60656	0.06376
41322.31405	0.09499
41666.66667	0.1452
42016.80672	0.2258
42372.88136	0.3521
42735.04274	0.5497
43103.44828	0.8576
43478.26087	1.331
43859.64912	2.058
44247.78761	3.155
44642.85714	3.969
45045.04505	3.969
45454.54545	3.969
45871.55963	3.969
46296.2963	3.969
46728.97196	3.969
47169.81132	3.969
47619.04762	3.969
48076.92308	3.969
48543.68932	3.969
49019.60784	3.969
49504.9505	3.969
50000	3.969

